Entry,Entry Name,Gene Names,Interacts with
A8CG34,P121C_HUMAN,POM121C,
O00187,MASP2_HUMAN,MASP2,Q9BWP8; P11226; P05155; PRO_0000042699 [P0C0L5]; P48740-1; P48740-2; P48740-3; O00187-2; P11226; P11226
O00327,BMAL1_HUMAN,BMAL1 ARNTL BHLHE5 MOP3 PASD3,O15516; D0VY79; Q99743; O14977; O15516; Q96HY7; Q99814; Q99743; Q8WVT3; Q9H0C1
O14745,NHRF1_HUMAN,NHERF1 NHERF SLC9A3R1,Q9BYF1; P07550; Q92624; P13569; P29762; Q9Y2H0-1; P15311; P26038; P35240-1; O14745; P47900; P09619; O60346; O60346-2; Q6ZVD8; P60484; Q9BXI6; Q9R0W0; P26043
O14786,NRP1_HUMAN,NRP1 NRP VEGF165R,P21333; P08648; P35968; P15692; P0DTC2; P15692-4
O14893,GEMI2_HUMAN,GEMIN2 SIP1,Q8N7W2-2; P28358; Q0VD86; O60684; P50221; P26367; P20618; O95059; Q16637; Q16637-2; P62306; Q9NZD8
O14920,IKKB_HUMAN,IKBKB IKKB,O14965; Q16543; O15111; O14920; Q9Y6K9; Q14145; Q99558; O43318; Q9Y6Q9; P19838; P25963; Q15653; P67775; Q04206; P23396; Q9UGK3; Q9UKE5; P04637; Q92574; P03230; P0DTC9; P24772; P03409; Q5D1E7; Q8WXH2
O14980,XPO1_HUMAN,XPO1 CRM1,O15392; Q08211; P04626; P22736; P35232; P61925; P18754; O95149; P04637; P63104; P04618; Q9WMX2
O15111,IKKA_HUMAN,CHUK IKKA TCF16,Q16543; P46527; Q13451; P07900; P08238; O14920; Q9Y6K9; Q92985; Q99558; Q5TCX8; P01106; P19838; P25963; Q15653; Q04206; Q15796; Q86VP1; P03129; Q07857; Q6TY28; Q6TY35; Q80901; Q8B5B5; P71451; P24772; Q77M19
O15162,PLS1_HUMAN,PLSCR1,P05067; A8KA13; Q8NEC5; Q9H2X0; Q16630; Q9UBR2; Q15038; Q9H4E7; Q9NQL9; Q92608; Q92731; Q92731-3; Q01844; O43559; Q9HBR3; O76003; Q9NXX0; P60412; P60411; Q9BYQ6; Q9BYR5; Q6L8G9; Q9BYQ4; Q5TA82; Q5TA78; Q6DKI2; Q8WWR8; Q7Z417; Q16625; Q15077; Q13563; Q9NZ81; P49796; Q9BWG6; Q92922; Q6RVD6; O75716; Q92734; Q8IWZ5; A5D8V6; Q8TAU3; Q96SQ5; A0A0S2Z5X4; P09022; Q8ZG77; Q56973; P69974; P61417; Q9WMX2
O15393,TMPS2_HUMAN,TMPRSS2 PRSS10,Q9BYF1; P01009; Q15848; Q86W74-2; P29972; O95393; Q12982; Q12983; Q6PL45-2; Q86Z23; O14523; Q9BXR6; Q9BXN2-6; Q9NWW5; Q96FZ5; Q6PI25; Q8TBE1; Q4LDR2; Q07325; Q9BQA9; P81534; P56851; Q9UKR5; Q92520; Q96IV6; P24593; Q6ZSS7; O75425; Q9NZG7; Q9UHJ9-5; Q9Y342; P26678; P60201-2; Q04941; Q13635-3; P53801; O00767; Q96IW7; Q9Y6D0; P11686; P78382; Q9NVC3; B2RUZ4; O15400; Q9UNK0; P17152; A0PK00; Q5BJH2-2; A2RU14; Q9H0R3; Q8NBD8; Q9BU79; Q9H2L4; Q9BSE2; Q8N2M4; Q8N661; P01375; Q5BVD1; O00526; O95183; Q9BQB6; O95159
O15504,NUP42_HUMAN,NUP42 CG1 NUPL2,O76011
O15530,PDPK1_HUMAN,PDPK1 PDK1,P31749; Q00005; Q9Y4P3; O75385; P54252; P42858; Q8WXH2; Q8IUH5
O43187,IRAK2_HUMAN,IRAK2,P10398; Q9NWZ3; P46977; Q13148; P58753; Q9H0E2; Q9Y4K3; Q5D1E8; P68467; Q6PDS3
O43318,M3K7_HUMAN,MAP3K7 TAK1,Q16543; O14920; O14733; Q9UQF2; O00743; P40763; Q15750; Q9NYJ8; Q8N5C8; Q9UKE5; Q9Y4K3; P0CG48; B5Z6S0; P0DTC9; Q16543; P07900; Q15750; Q9NYJ8
