DrugBank ID,Common name
DB00001,Lepirudin
DB00002,Cetuximab
DB00005,Etanercept
DB00006,Bivalirudin
DB00009,Alteplase
DB00010,Sermorelin
DB00013,Urokinase
DB00015,Reteplase
DB00019,Pegfilgrastim
DB00025,"Antihemophilic factor, human recombinant"
DB00028,Human immunoglobulin G
DB00029,Anistreplase
DB00030,Insulin human
DB00031,Tenecteplase
DB00036,Coagulation factor VIIa Recombinant Human
DB00038,Oprelvekin
DB00039,Palifermin
DB00042,Botulinum Toxin Type B
DB00046,Insulin lispro
DB00047,Insulin glargine
DB00054,Abciximab
DB00055,Drotrecogin alfa
DB00056,Gemtuzumab ozogamicin
DB00058,Alpha-1-proteinase inhibitor
DB00070,Hyaluronidase (ovine)
DB00071,Insulin pork
DB00072,Trastuzumab
DB00074,Basiliximab
DB00075,Muromonab
