DrugBank ID,Common name
DB00010,Sermorelin
DB00013,Urokinase
DB00019,Pegfilgrastim
DB00025,"Antihemophilic factor, human recombinant"
DB00030,Insulin human
DB00031,Tenecteplase
DB00036,Coagulation factor VIIa Recombinant Human
DB00038,Oprelvekin
DB00039,Palifermin
DB00046,Insulin lispro
DB00047,Insulin glargine
DB00052,Somatotropin
DB00071,Insulin pork
DB00083,Botulinum toxin type A
DB00089,Capromab pendetide
DB00091,Cyclosporine
DB00098,Antithymocyte immunoglobulin (rabbit)
DB00099,Filgrastim
DB00100,Coagulation Factor IX (Recombinant)
DB00114,Pyridoxal phosphate
DB00118,Ademetionine
DB00119,Pyruvic acid
DB00121,Biotin
DB00122,Choline
DB00123,L-Lysine
DB00126,Ascorbic acid
DB00128,Aspartic acid
DB00129,Ornithine
DB00130,L-Glutamine
DB00131,Adenosine phosphate
DB00132,alpha-Linolenic acid
DB00134,Methionine
DB00135,Tyrosine
DB00138,Cystine
DB00139,Succinic acid
DB00141,N-Acetylglucosamine
DB00142,Glutamic acid
DB00143,Glutathione
DB00144,Phosphatidyl serine
DB00145,Glycine
DB00148,Creatine
