ID	Gene Name	UniProt ID	Species	Drug IDs
1	ftsI	P45059	Haemophilus influenzae (strain ATCC 51907 / DSM 11121 / KW20 / Rd)	DB00303
2	HDC	P19113	Humans	DB00114
3	GLS2	Q9UI32	Humans	DB00142
4	F13A1	P00488	Humans	DB01839; DB11300; DB11311; DB11571; DB11572; DB13151
5	NOS2	P35228	Humans	DB00155; DB01110; DB01234; DB08814; DB09237; DB11327
6	HSD17B2	P37059	Humans	DB00157; DB00783; DB13952; DB13953; DB13954; DB13955; DB13956
7	PYGL	P06737	Humans	DB00114; DB00131
8	NNT	Q13423	Humans	DB00157; DB09092
9	ADH5	P11766	Humans	DB00157; DB03017
10	AMT	P48728	Humans	DB00157
11	IDH3A	P50213	Humans	DB00157; DB06757; DB09092; DB09130
12	CACNA1I	Q9P0X4	Humans	DB00381; DB00568; DB00617; DB00909; DB04841; DB06152; DB09061
13	ADORA1	P30542	Humans	DB00193; DB00201; DB00277; DB00555; DB00640; DB00651; DB00806; DB00824; DB00996; DB01223; DB01303; DB04932; DB09061; DB11757
14	ABL1	P00519	Humans	DB00619; DB01254; DB04868; DB06616; DB08896; DB08901; DB12010; DB12267
15	FCER1A	P12319	Humans	DB00043; DB00895
